"ORIGIN","DEST","CARRIER","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"OGG","LIH","HA",1519,0.00197498354180382,0.00921658986175115,0.00621456921997339,0.0157307069762544,0.00276000501819094,0.0115555555555556
"OGG","OAK","HA",365,0.00547945205479452,0.0465753424657534,0.0216213027333306,0.0744997016600395,0.00772376192639709,0.0503562945368171
"OGG","SEA","HA",365,0.00273972602739726,0.0383561643835616,0.0174796508480862,0.0645654098577451,0.00545206724216265,0.0432304038004751
"OGG","SFO","HA",212,0.00943396226415094,0.0424528301886792,0.0368647680042459,0.080843242846904,0.0118384401114206,0.0492537313432836
"OGG","SJC","HA",365,0.00273972602739726,0.0328767123287671,0.0174796508480862,0.0578319300918365,0.00545206724216265,0.038479809976247
"PDX","HNL","HA",365,0,0.0191780821917808,0.0130643674688631,0.0404508877503998,0.00318037255792821,0.026603325415677
"PHX","HNL","HA",365,0.00547945205479452,0.0301369863013699,0.0216213027333306,0.0544253083313855,0.00772376192639709,0.036104513064133
"SAN","HNL","HA",365,0,0.0273972602739726,0.0130643674688631,0.0509881258352571,0.00318037255792821,0.033729216152019
"SEA","HNL","HA",365,0.00273972602739726,0.0273972602739726,0.0174796508480862,0.0509881258352571,0.00545206724216265,0.033729216152019
"SEA","OGG","HA",365,0.00273972602739726,0.0301369863013699,0.0174796508480862,0.0544253083313855,0.00545206724216265,0.036104513064133
"SFO","HNL","HA",365,0.00273972602739726,0.0493150684931507,0.0174796508480862,0.07777372120969,0.00545206724216265,0.0527315914489311
"SFO","OGG","HA",211,0.014218009478673,0.0616113744075829,0.0438131556832097,0.104515691518029,0.0153738644304682,0.0644194756554307
"SJC","HNL","HA",364,0.00549450549450549,0.043956043956044,0.0216798953059526,0.0713998893084526,0.00774134790528233,0.0480952380952381
"SJC","OGG","HA",365,0.010958904109589,0.0520547945205479,0.0294281494506592,0.0810312584740969,0.012267151294866,0.0551068883610451
"SMF","HNL","HA",365,0.00273972602739726,0.0410958904109589,0.0174796508480862,0.0678970682095982,0.00545206724216265,0.0456057007125891
