"ORIGIN","DEST","CARRIER","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"IAD","FLL","F9",142,0.0140845070422535,0.147887323943662,0.0544166092027117,0.217834229021847,0.0156537753222836,0.127272727272727
"IAD","LAS","F9",234,0.00854700854700855,0.205128205128205,0.0334716139588705,0.262895531666657,0.0109961190168176,0.18
"IAD","MCO","F9",348,0.0172413793103448,0.189655172413793,0.0386142112595348,0.235267040607946,0.0174858223062382,0.173762376237624
"IAD","MEM","F9",98,0,0.0714285714285714,0.0470643153730982,0.144403747684249,0.00808314087759815,0.0727272727272727
"IAD","MIA","F9",102,0.00980392156862745,0.0784313725490196,0.0605163157619057,0.151121116517983,0.0135440180586907,0.0772151898734177
"IAD","MSP","F9",139,0.0143884892086331,0.0719424460431655,0.0555500640401585,0.130287697724194,0.0158730158730159,0.0728205128205128
"IAD","ORD","F9",213,0.00469483568075117,0.131455399061033,0.0296777551824414,0.185110956458622,0.00832755031228314,0.119702602230483
"IAD","PBI","F9",83,0.036144578313253,0.144578313253012,0.107376147753483,0.239710531547038,0.0278128950695322,0.116546762589928
"IAD","RSW","F9",159,0.0251572327044025,0.163522012578616,0.0663065573330028,0.230866487862208,0.0230572160546541,0.14046511627907
"IAD","STL","F9",53,0,0.0754716981132075,0.0838309212553503,0.186560889023288,0.0109204368174727,0.0752293577981651
"IAD","TPA","F9",105,0.019047619047619,0.123809523809524,0.0727148579339564,0.203607972706442,0.0188679245283019,0.106832298136646
"IAH","DEN","F9",685,0.0102189781021898,0.0963503649635036,0.0217136196800394,0.12141862968699,0.0110497237569061,0.0947368421052632
"IAH","PHL","F9",62,0.0161290322580645,0.241935483870968,0.0967341886197969,0.36523134946842,0.0174927113702624,0.16271186440678
"IAH","PHX","F9",206,0,0.106796116504854,0.0229282200104571,0.158195684906545,0.00497866287339972,0.1
"IAH","SFO","F9",223,0,0.0269058295964126,0.0212155926290026,0.0597192948598938,0.00469483568075117,0.0365591397849462
"IND","ATL","F9",103,0,0.0679611650485437,0.0448772760318676,0.137776839130908,0.00785634118967452,0.070440251572327
"IND","DEN","F9",592,0.00844594594594595,0.0777027027027027,0.0205710345309527,0.102830066128682,0.00959232613908873,0.0774691358024691
"LAS","ATL","F9",63,0,0.142857142857143,0.0714312233292764,0.254691518446196,0.0101302460202605,0.110924369747899
"LAS","AUS","F9",62,0,0.112903225806452,0.0725036741710783,0.220847307025871,0.0102040816326531,0.0949152542372881
"LAS","CLE","F9",306,0.00326797385620915,0.137254901960784,0.0207977389774611,0.181577397546542,0.00629590766002099,0.127624309392265
"LAS","CVG","F9",216,0.0185185185185185,0.277777777777778,0.0492350609870394,0.342480689966262,0.018543956043956,0.236029411764706
"LAS","DEN","F9",1727,0.00521134916039375,0.0914881297046902,0.010174546393816,0.106355109087342,0.00577072466984796,0.0909702748177229
"LAS","IAD","F9",235,0.0127659574468085,0.123404255319149,0.039435602650531,0.173172710931828,0.0141843971631206,0.114089347079038
"LAS","MCO","F9",62,0,0.145161290322581,0.0725036741710783,0.258413647093863,0.0102040816326531,0.111864406779661
"LAS","ORD","F9",224,0.0178571428571429,0.1875,0.0475179362940074,0.245253716863484,0.018048128342246,0.165
"LAS","SEA","F9",1,0,0,0.838178046004133,0.838178046004133,0.0183727034120735,0.0736842105263158
"LAS","STL","F9",111,0.00900900900900901,0.108108108108108,0.0558140790933671,0.182722011726464,0.0128893662728249,0.0970059880239521
"LAX","ATL","F9",62,0,0.032258064516129,0.0725036741710783,0.11934687086031,0.0102040816326531,0.0525423728813559
"LAX","DEN","F9",1134,0.00440917107583774,0.0749559082892416,0.0107866459801264,0.0922034313375059,0.00529275554085346,0.0749579831932773
"LAX","ORD","F9",77,0,0.116883116883117,0.0591764199999356,0.211931066806648,0.00919842312746386,0.0992481203007519
"LGA","ATL","F9",62,0.0161290322580645,0.0645161290322581,0.0967341886197969,0.161681722196502,0.0174927113702624,0.0694915254237288
"LGA","CLE","F9",48,0,0.0416666666666667,0.0917980957908874,0.150828378679271,0.0113636363636364,0.0596153846153846
"LGA","DEN","F9",399,0.0225563909774436,0.182957393483709,0.0435287717984759,0.22487816247601,0.0219316743989878,0.16967032967033
"LGA","MIA","F9",325,0.0369230769230769,0.273846153846154,0.0648096184176938,0.325918272158483,0.0334832583708146,0.244619422572178
"LIT","DEN","F9",69,0,0.0144927536231884,0.0656083899754864,0.0875640372280916,0.00970873786407767,0.0416
"MCI","DEN","F9",681,0.00440528634361234,0.0851688693098385,0.0138040648141202,0.109194027313883,0.0058185665167945,0.0843962008141113
"MCO","ATL","F9",160,0.0125,0.18125,0.0484812096743802,0.250170789961785,0.0144557823129252,0.153703703703704
"MCO","CLE","F9",543,0.00920810313075507,0.125230202578269,0.0224086576328243,0.156537261534183,0.0103526366871563,0.120534223706177
"MCO","CVG","F9",183,0.0109289617486339,0.153005464480874,0.0425507379534212,0.214103547347962,0.0131680867544539,0.134728033472803
"MCO","DEN","F9",829,0.00482509047044632,0.118214716525935,0.0130627901756638,0.142570409538819,0.0059721300597213,0.115480225988701
"MCO","IAD","F9",347,0.0144092219020173,0.207492795389049,0.0348674433757206,0.254369884374023,0.0151586925627665,0.189081885856079
"MCO","LAS","F9",62,0.0161290322580645,0.129032258064516,0.0967341886197969,0.239784131061142,0.0174927113702624,0.103389830508475
"MCO","MKE","F9",42,0,0.119047619047619,0.10361426737462,0.258093083715604,0.0119453924914676,0.0938775510204082
"MCO","MSN","F9",21,0.0476190476190476,0.238095238095238,0.249984614474175,0.459599554565149,0.0249480249480249,0.119480519480519
"MCO","OMA","F9",47,0.0212765957446809,0.0851063829787234,0.124719062777789,0.207878233982044,0.0196399345335516,0.0796116504854369
"MCO","ORD","F9",212,0.00943396226415094,0.235849056603774,0.0368647680042459,0.298920639981888,0.0118384401114206,0.202238805970149
"MCO","PHL","F9",384,0.0364583333333333,0.205729166666667,0.0614260697279631,0.250029051038074,0.0335365853658537,0.189090909090909
"MCO","STL","F9",98,0.0102040816326531,0.153061224489796,0.0628703799408542,0.240467907128341,0.0138568129330254,0.124675324675325
"MDW","DEN","F9",444,0.00675675675675676,0.132882882882883,0.0210872986961079,0.16856730727824,0.00847457627118644,0.1264
"MDW","TYS","F9",28,0,0.0357142857142857,0.148081649610182,0.196803952799007,0.0135658914728682,0.0619047619047619
"MEM","DEN","F9",322,0.0031055900621118,0.0900621118012422,0.0197795265577437,0.127585446509153,0.00604229607250755,0.0878306878306878
"MEM","DFW","F9",63,0,0.0634920634920635,0.0714312233292764,0.159320569872076,0.0101302460202605,0.0689075630252101
"MEM","IAD","F9",98,0,0.0918367346938776,0.0470643153730982,0.169268365195272,0.00808314087759815,0.0857142857142857
"MIA","ATL","F9",117,0.00854700854700855,0.102564102564103,0.0530651956757728,0.173860262901168,0.0124869927159209,0.0936416184971098
"MIA","DEN","F9",242,0.0247933884297521,0.260330578512397,0.0551386693131826,0.320451844358188,0.0233291298865069,0.225503355704698
"MIA","IAD","F9",102,0.00980392156862745,0.0784313725490196,0.0605163157619057,0.151121116517983,0.0135440180586907,0.0772151898734177
